run,env,epoch,fold,in_development,in_heldout,in_heldout_dataset,in_heldout_method,in_calibration_fit,sr_development,sr_heldout,sr_heldout_method,method,vis,veracity,influence,sobriety,m_emp,probe_r2,straightness,d_tol_grade,sigma_roll,tr_sigma_z,sr_heldout_dataset,in_cube_reference
visreg_pusht_lambd4p5_bs512_lr1e-4_seed46_184426,pusht,3,heldout,0,0,0,0,1,92.0,nan,nan,,0.17914991143226933,0.45862377326660947,1.0,0.390625,97.72341663947277,0.7599125293755398,0.40252664398413385,4.79983662989497,3.9295691426372943,185.81880831021994,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed46_184426,pusht,4,heldout,0,0,0,0,1,88.0,nan,nan,,0.22158302414045494,0.4727104514996372,1.0,0.46875,106.93326591242902,0.7859693834927698,0.4006187977879744,4.880594197443376,3.8603197541185192,185.09992437867112,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed46_184426,pusht,5,heldout,0,0,0,0,1,90.0,nan,nan,,0.2053487226290222,0.46936850886633646,1.0,0.4375,111.1067661146962,0.806842619195225,0.4006602809408148,4.897406527505984,3.905164235639691,186.68102620345272,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed46_184426,pusht,6,heldout,0,0,0,0,1,90.5,nan,nan,,0.321079646409859,0.5708082602841937,1.0,0.5625,134.64399434500615,0.8288480627134449,0.403910274158237,4.9050891313436695,3.1022268203266474,182.65161024846574,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed46_184426,pusht,7,heldout,0,0,0,0,1,94.0,nan,nan,,0.34364340604411914,0.594410215860098,1.0,0.578125,137.62199315316946,0.840397138744025,0.40234960210415005,5.060688618933169,3.04245063216514,184.54469563921026,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed46_184426,pusht,8,heldout,0,0,0,0,1,94.0,nan,nan,,0.44891478682592706,0.6529669626558939,1.0,0.6875,151.7319083534701,0.8453087462080783,0.4037839683275831,5.0112503251696365,2.6645388010177196,185.38673382834497,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed46_184426,pusht,9,heldout,0,0,0,0,1,90.0,nan,nan,,0.4331212784220917,0.6599943290241397,1.0,0.65625,152.95863954641146,0.8471180753942834,0.40292502220534454,5.058712419195297,2.6508887266093946,185.80309352352796,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed46_184426,pusht,10,heldout,0,0,0,0,1,92.0,nan,nan,,0.4098284679971913,0.6725390244056473,1.0,0.609375,156.02245535827973,0.847815725286441,0.40291438271981134,5.051314764515248,2.579199297905433,185.55676553121341,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed729_184422,pusht,1,heldout,0,1,0,0,1,20.0,24.0,nan,,0.009339533073490353,0.2239967245107502,0.33355963017368584,0.125,27.351889674242237,0.7012620336123168,0.3243054658309207,4.639058998349511,8.152107557658214,180.25598911302438,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed729_184422,pusht,2,heldout,0,0,0,0,1,66.0,nan,nan,,0.14618354067986852,0.35255945751763795,0.8845549692889776,0.46875,72.53350748169616,0.7401498288952334,0.405375519318644,4.576713854601802,5.003833965652153,186.28538654753675,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed729_184422,pusht,3,heldout,0,0,0,0,1,70.0,nan,nan,,0.06985958550709945,0.3725844560378637,1.0,0.1875,84.13715288718919,0.7606024120697247,0.40694648384475246,4.747037308837203,4.890145513626547,186.6818939391283,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed729_184422,pusht,4,heldout,0,0,0,0,1,90.0,nan,nan,,0.23657695505901913,0.45881591284173406,1.0,0.515625,106.49525614553961,0.7849613994162357,0.40308366944189844,4.843090468649811,3.963097359380868,184.32965838314027,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed729_184422,pusht,5,heldout,0,0,0,0,1,92.0,nan,nan,,0.2314329152255761,0.493723552481229,1.0,0.46875,119.59368117985522,0.8004316892731814,0.4025748586829523,4.896864671324708,3.6838098772533994,185.53564773375322,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed729_184422,pusht,6,heldout,0,0,0,0,1,96.0,nan,nan,,0.361515343822357,0.564316634259289,1.0,0.640625,134.29332819146907,0.8131313808308391,0.40257716280206157,4.986228039264421,3.198337206564433,184.91424774377825,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed729_184422,pusht,7,heldout,0,0,0,0,1,94.0,nan,nan,,0.33654858155335504,0.5668186636688085,1.0,0.59375,135.32504749274892,0.8189461632432063,0.4042489226022113,5.059706918889904,3.2278447368820977,186.41533506843447,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed729_184422,pusht,8,heldout,0,0,0,0,1,96.0,nan,nan,,0.46729243648460084,0.6501459985872707,1.0,0.71875,154.26962648266618,0.818071481062406,0.4042823852318158,5.054053660496807,2.703071040152314,185.09232434357483,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed729_184422,pusht,9,heldout,0,0,0,0,1,96.0,nan,nan,,0.4524319764464175,0.6733871277342028,1.0,0.671875,157.85963032509147,0.8182350674526907,0.40427286128082135,5.126850439724993,2.61318235757922,185.66649354487708,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed729_184422,pusht,10,heldout,0,0,0,0,1,90.5,nan,nan,,0.4592666825325471,0.6835597135368143,1.0,0.671875,159.83609735421237,0.8185591404426823,0.40400842161419104,5.149026549771228,2.569887951234782,185.5928976138926,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed729_184422,pusht,12,heldout,0,1,0,0,1,54.0,93.33333333333333,nan,,0.4141055663747661,0.6625689061996257,1.0,0.625,155.91359459001242,0.8190791902174738,0.40369609016371377,5.140596514602924,2.67947780862113,185.26650890228092,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed729_184422,pusht,15,heldout,0,0,0,0,1,56.00000000000001,nan,nan,,0.2809411965901815,0.5448556539930793,1.0,0.515625,139.2380732581201,0.8428590034657208,0.40767596133987316,5.087180768481666,3.405684274194044,186.45132652264152,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed729_184422,pusht,18,heldout,0,0,0,0,1,96.0,nan,nan,,0.37892660655532145,0.5774119718938232,1.0,0.65625,153.57344346919635,0.8751711581734635,0.418807186653649,5.165190376172632,3.2204369424077264,187.15580247483055,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed729_184422,pusht,21,heldout,0,0,0,0,1,90.0,nan,nan,,0.31675403872241376,0.5631182910620689,1.0,0.5625,158.42683706358116,0.9046574833381286,0.42361393585240914,5.090252811579668,3.27360208570837,185.11566567143518,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed729_184422,pusht,24,heldout,0,0,0,0,1,96.0,nan,nan,,0.3183886200387841,0.599319755367123,1.0,0.53125,172.21670843913665,0.9050413417614248,0.4277810535981544,5.129790609443587,3.051968163021773,186.1893736654468,nan,0
visreg_pusht_lambd4p5_bs512_lr2e-4_seed729_183126,pusht,1,heldout,0,0,0,0,1,58.0,nan,nan,,0.03890642491279257,0.29756844818467293,0.5977043048196444,0.21875,49.01175299521084,0.7401190764974898,0.39872432183930895,4.631890443349204,6.062045990155503,188.76378479183668,nan,0
visreg_pusht_lambd4p5_bs512_lr2e-4_seed729_183126,pusht,2,heldout,0,0,0,0,1,82.0,nan,nan,,0.11846223155395147,0.3459857499104415,0.9130413152149798,0.375,74.86938784762835,0.7834198717665712,0.4087389874330397,4.804194747947255,5.3595211629898145,185.31989378831923,nan,0
visreg_pusht_lambd4p5_bs512_lr2e-4_seed729_183126,pusht,3,heldout,0,0,0,0,1,86.0,nan,nan,,0.16175316676944243,0.47055466696565074,1.0,0.34375,108.85003078779717,0.834608029563242,0.40986204007072674,4.839183330501519,3.847627139015564,181.62505302316987,nan,0
