run,env,task,d,epoch,eval_seed,planner,num_eval,success_rate,group,train_seed,source
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed7_117236,dmc,dmc,25,2,42,cem,50,68.0,clsrecon,7,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed7_117236,dmc,dmc,25,3,42,cem,50,76.0,clsrecon,7,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed7_117236,dmc,dmc,25,4,42,cem,50,70.0,clsrecon,7,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed7_117236,dmc,dmc,25,5,42,cem,50,70.0,clsrecon,7,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed7_117236,dmc,dmc,25,6,42,cem,50,66.0,clsrecon,7,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed7_117236,dmc,dmc,25,7,42,cem,50,76.0,clsrecon,7,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed7_117236,dmc,dmc,25,8,42,cem,50,66.0,clsrecon,7,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed7_117236,dmc,dmc,25,9,42,cem,50,74.0,clsrecon,7,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed7_117236,dmc,dmc,25,10,42,cem,50,78.0,clsrecon,7,ground_truth
sigreg_clsrecon_w0p3_patch_dmc_lambd0p09_116986,dmc,dmc,25,1,42,cem,50,38.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_patch_dmc_lambd0p09_116986,dmc,dmc,25,2,42,cem,50,62.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_patch_dmc_lambd0p09_116986,dmc,dmc,25,3,42,cem,50,70.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_patch_dmc_lambd0p09_116986,dmc,dmc,25,4,42,cem,50,86.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_patch_dmc_lambd0p09_116986,dmc,reacher,25,4,2027,cem,50,74.0,,,pool:heldout
sigreg_clsrecon_w0p3_patch_dmc_lambd0p09_116986,dmc,reacher,25,4,65537,cem,50,66.0,,,pool:heldout
sigreg_clsrecon_w0p3_patch_dmc_lambd0p09_116986,dmc,reacher,25,4,8191,cem,50,80.0,,,pool:heldout
sigreg_clsrecon_w0p3_patch_dmc_lambd0p09_116986,dmc,dmc,25,5,42,cem,50,74.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_patch_dmc_lambd0p09_116986,dmc,dmc,25,6,42,cem,50,86.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_patch_dmc_lambd0p09_116986,dmc,dmc,25,7,42,cem,50,78.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_patch_dmc_lambd0p09_116986,dmc,dmc,25,8,42,cem,50,82.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_patch_dmc_lambd0p09_116986,dmc,dmc,25,9,42,cem,50,76.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_patch_dmc_lambd0p09_116986,dmc,dmc,25,10,42,cem,50,72.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_patch_noregmask_dmc_lambd0p09_117126,dmc,dmc,25,1,42,cem,50,18.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_patch_noregmask_dmc_lambd0p09_117126,dmc,dmc,25,2,42,cem,50,34.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_patch_noregmask_dmc_lambd0p09_117126,dmc,dmc,25,3,42,cem,50,26.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_patch_noregmask_dmc_lambd0p09_117126,dmc,dmc,25,4,42,cem,50,64.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_patch_noregmask_dmc_lambd0p09_117126,dmc,dmc,25,5,42,cem,50,44.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_patch_noregmask_dmc_lambd0p09_117126,dmc,dmc,25,6,42,cem,50,62.0,clsrecon,base,ground_truth
